2.10804	PASS	00011001011001111000011101100100
4.63795	PASS	01011011111010011100001101000011
7.11176	PASS	01010000000100101001001011011001
9.66781	PASS	01110011011001110000110110100000
12.1061	PASS	01110010101011111011111010010000
14.6046	PASS	01110000000010000001101011000010
17.1194	PASS	00100100000101001111000000000100
19.7129	PASS	01011010100110011010100100011101
22.1219	PASS	00011110001011011101110101100011
24.6187	PASS	01010101001000011001111000001111
27.1003	PASS	00010010000100000001011001110011
29.6089	PASS	01011110001100011110000101001000
32.1262	PASS	00011100101111010110111001001000
34.6182	PASS	01011000100100110100011110110101
37.1636	PASS	00101101010010001110100110000001
39.6272	PASS	00001101110110100010101101100001
42.1142	PASS	01101110010101011111010001100001
49.6064	PASS	00101011110000110001110101100100
52.1047	PASS	00010110101111101010011010101110
54.6079	PASS	00111110101100001111010100101100
57.1389	PASS	01010011101100000011101111011011
59.6001	PASS	01010111001010011101000111001001
62.1256	PASS	01111010100011000000111111010011
64.6052	PASS	00000001011000110010010010000000
67.1022	PASS	00010011111100010101000000110110
69.6255	PASS	01000111110010010001001101110100
72.108	PASS	01100010000111000100100101111101
74.6348	PASS	00101111000111001101111111011101
77.1624	PASS	00010000101011010011111001010101
79.6175	PASS	01011101110101110100011100000000
82.1184	PASS	01100000011101101000000100100001
84.6208	PASS	00000100000101111100111100000001
87.1224	PASS	00110111000101110100110011000000
89.6162	PASS	01011010101011111110110110000001
92.1552	PASS	01010100000100011101111010101010
94.6155	PASS	01100001001100011001011000000100
97.1051	PASS	01111110011100000001001001110101
99.6121	PASS	01101111110011000000000000101100
102.17	PASS	00111010000111111000001000001011
104.617	PASS	01101010100100101011110111111100
107.163	PASS	01000111111101110010001000001101
109.607	PASS	00110001110111001010100001100100
112.153	PASS	00001101101100110101011011001111
114.642	PASS	01111001000010000011011100001111
117.101	PASS	00001010010101101111011111011101
119.619	PASS	01010011101010101101001101111000
127.107	PASS	00011011111000100000111010001000
129.637	PASS	00010110001010000001000100000101
132.118	PASS	00100000011101010110101010100000
134.685	PASS	01111100101010110011111100000101
137.128	PASS	01001110101101101010000100110100
139.605	PASS	00111000000100011000010101001011
142.102	PASS	00000110010001100001101110101111
144.604	PASS	01100100110000111000000101100000
147.107	PASS	01011111011000101111100101001110
149.604	PASS	01011010110111011010000011001110
152.116	PASS	00001100011010000110001011111101
154.616	PASS	00011001001110101101011001101000
157.103	PASS	01100101110100100101001011001000
159.61	PASS	01010011001110001111110010110001
162.109	PASS	01000010010101011111001100100110
164.651	PASS	00011000110011100110010111010000
167.124	PASS	00010110011111100100011101101001
169.661	PASS	00111100100000100100101000001000
172.113	PASS	00001101110010100111001001000001
174.638	PASS	01100110000100110001000001111001
177.168	PASS	01101101100111101010110001001001
